Team,Rank,Ave,Points
Alabama,1,94.99,327.76
Ohio State,2,94.98,321.68
LSU,3,92.75,295.47
Georgia,4,93.49,294.42
Clemson,5,94.01,291.06
Oregon,6,92.36,287.29
USC,7,91.77,280.61
Texas A&M,8,91.70,279.02
Notre Dame,9,89.68,269.05
Oklahoma,10,93.18,267.80
Miami,11,90.51,266.08
Florida,12,90.30,262.77
Michigan,13,89.99,260.53
North Carolina,14,90.87,256.55
Texas,15,89.00,247.46
Wisconsin,16,89.04,240.73
Ole Miss,17,87.96,234.52
Maryland,18,87.37,230.24
Auburn,19,88.25,224.20
Nebraska,20,87.64,216.47
Penn State,21,89.07,216.37
Florida State,22,87.98,216.37
Tennessee,23,88.57,215.79
Iowa,24,87.77,213.85
Arkansas,25,87.19,213.15
Mississippi State,26,86.18,210.97
Missouri,27,86.79,210.68
California,28,87.11,209.23
Pittsburgh,29,86.64,209.14
Oklahoma State,30,86.60,207.30
UCLA,31,87.54,206.50
Virginia,32,86.03,206.33
Utah,33,87.27,205.89
Kentucky,34,87.13,204.99
NC State,35,86.03,203.31
Washington,36,87.93,201.75
Boston College,37,85.38,201.65
Minnesota,38,87.17,199.38
Rutgers,39,85.70,199.26
Louisville,40,85.87,196.31
Baylor,41,86.60,195.60
West Virginia,42,87.21,195.05
Stanford,43,86.55,194.69
Virginia Tech,44,85.12,191.39
Cincinnati,45,85.24,190.66
Michigan State,46,85.65,190.60
Memphis,47,84.80,187.31
Georgia Tech,48,86.42,186.81
Vanderbilt,49,84.78,184.42
Northwestern,50,86.26,184.30
